Rank,Player,OVERS,MAIDENS,RUNS,WICKETS,BEST BOWLING,5 WICKET HAUL,ECONOMY RATE,STRIKE RATE,AVERAGE
1,Rob Firth,104.3,20,378,36,6/24,3,3.62,17.42,10.5
2,Paul Davis,100.2,16,338,33,5/6,2,3.37,18.24,10.24
3,Tommy Howton,112.5,25,334,33,6/9,1,2.96,20.52,10.12
4,Arunkumar Sathiamoorthy,163.1,23,633,32,5/20,1,3.88,30.59,19.78
5,Lucas Maidstone,85.1,5,382,22,5/18,1,4.49,23.23,17.36
6,shahrokh navaee,56.2,10,177,16,5/20,1,3.14,21.13,11.06
7,Alexander Priest,68,6,389,15,3/24,0,5.72,27.2,25.93
8,Euan West,48.2,3,264,12,3/7,0,5.46,24.17,22
9,Daniel Cadd,78.2,9,340,12,2/1,0,4.34,39.17,28.33
10,Sam Quigley,60.3,6,302,10,2/16,0,4.99,36.3,30.2
11,Shambavi Arunkumar,26,1,230,9,5/43,1,8.85,17.33,25.56
12,Vivin Mathew,40,8,169,9,2/22,0,4.23,26.67,18.78
13,Luke Andrews,44,4,224,9,2/9,0,5.09,29.33,24.89
14,Toby Daines,39,1,192,8,3/12,0,4.92,29.25,24
15,Jonathan Maidstone,16,0,73,6,2/15,0,4.56,16,12.17
16,Nigel Champion,21,2,116,6,5/26,1,5.52,21,19.33
17,Anup Sen,26.3,1,140,6,2/8,0,5.28,26.5,23.33
18,Dax Moore,27,1,152,6,3/35,0,5.63,27,25.33
19,Raven Richards,15.4,2,83,5,2/30,0,5.3,18.8,16.6
20,William Ainsley,22,3,66,5,4/21,0,3,26.4,13.2
21,Aaron Whiting,23,4,58,5,3/17,0,2.52,27.6,11.6
22,Neil Picton,7.3,1,22,4,3/13,0,2.93,11.25,5.5
23,Darren McGoldrick,7.5,1,22,4,2/4,0,2.81,11.75,5.5
24,Eddi Wicken,29,6,103,4,1/17,0,3.55,43.5,25.75
25,Stuart Graham,9,3,22,3,3/22,0,2.44,18,7.33
26,Dave Winchester,9.3,1,44,3,2/18,0,4.63,19,14.67
27,Josh Crowfoot,15,1,72,3,3/22,0,4.8,30,24
28,Felicity Crouch,20.5,2,112,3,2/31,0,5.38,41.67,37.33
